"","GSM4281952","GSM4281953","GSM4281954","GSM4281955","GSM4281956","GSM4281957","GSM4281958","GSM4281959","GSM4281964","GSM4281965"
"ENSG00000000005",1,2,3,0,1,2,2,0,1,0
"ENSG00000000419",501,437,367,250,321,206,442,169,251,307
"ENSG00000000457",213,212,96,54,62,97,134,61,83,75
"ENSG00000000460",43,43,32,19,23,27,18,21,30,19
"ENSG00000000938",12,19,11,9,6,12,18,13,7,4
"ENSG00000000971",24,100,31,25,26,39,35,45,11,23
"ENSG00000001036",95,141,44,51,35,63,77,49,60,31
"ENSG00000001084",209,218,94,95,81,42,147,59,91,51
"ENSG00000001167",185,215,39,63,36,18,68,37,56,18
"ENSG00000001460",24,42,8,10,22,6,14,4,7,37
"ENSG00000001461",360,393,103,148,85,55,248,105,212,164
"ENSG00000001497",152,179,43,42,36,22,80,29,85,7
"ENSG00000001561",1400,1070,763,490,538,305,842,324,607,511
"ENSG00000001617",47,110,18,47,32,15,25,17,43,24
"ENSG00000001626",0,4,5,5,0,5,0,0,0,0
"ENSG00000001629",798,819,495,473,399,305,481,304,591,554
"ENSG00000001630",19,20,4,12,5,7,6,0,2,0
"ENSG00000001631",145,166,58,87,52,38,82,51,73,83
"ENSG00000002016",136,141,106,117,83,69,88,48,52,26
"ENSG00000002330",69,106,70,115,92,77,97,66,139,130
"ENSG00000002549",898,1068,249,343,252,176,520,201,318,424
"ENSG00000002586",46,324,24,48,61,40,33,10,18,124
"ENSG00000002587",9,13,3,0,2,7,5,1,2,0
"ENSG00000002726",0,6,1,0,0,1,0,0,0,0
"ENSG00000002745",0,2,0,0,0,0,0,0,0,0
"ENSG00000002746",65,83,8,11,3,0,4,14,8,17
"ENSG00000002822",4,8,0,3,2,0,3,0,4,0
"ENSG00000002834",150,473,77,136,55,103,101,75,135,72
"ENSG00000002919",175,165,130,115,103,80,132,71,85,89
"ENSG00000002933",12,78,12,19,24,33,4,15,5,3
"ENSG00000003056",301,312,91,165,116,68,237,84,204,246
"ENSG00000003096",120,136,49,31,57,33,73,23,42,54
"ENSG00000003137",1,11,1,7,4,2,1,0,2,0
"ENSG00000003147",66,44,15,21,44,23,36,20,23,13
"ENSG00000003249",484,409,91,265,151,66,215,162,326,236
"ENSG00000003393",934,912,260,318,267,171,357,135,301,326
"ENSG00000003400",92,162,67,80,95,102,54,44,24,68
"ENSG00000003402",2171,1497,925,916,867,544,1240,599,924,897
"ENSG00000003436",527,572,353,265,221,177,228,164,167,219
"ENSG00000003509",469,584,195,171,182,66,331,98,265,237
"ENSG00000003756",534,592,230,247,253,137,259,140,212,144
"ENSG00000003987",25,19,7,21,4,10,9,5,0,8
"ENSG00000003989",5928,4063,1756,2745,3318,1298,2502,1124,3100,2536
"ENSG00000004059",485,682,407,418,317,211,523,272,517,530
"ENSG00000004139",31,29,11,9,3,11,11,0,7,0
"ENSG00000004142",3660,3732,1618,2719,1937,955,3273,1555,3108,3373
"ENSG00000004399",272,799,92,191,121,151,133,126,151,140
"ENSG00000004455",1146,1102,1098,830,782,499,1038,682,1231,1116
"ENSG00000004468",617,474,313,385,421,168,261,158,319,235
"ENSG00000004478",712,655,155,298,370,112,520,161,437,502
"ENSG00000004487",991,1098,338,405,417,231,578,169,536,473
"ENSG00000004534",459,618,133,221,170,62,247,82,232,197
"ENSG00000004660",47,128,12,24,12,23,28,13,12,11
"ENSG00000004700",201,324,65,40,62,59,85,55,54,54
"ENSG00000004766",625,648,208,218,192,97,289,152,225,204
"ENSG00000004776",725,496,314,568,204,163,523,237,303,322
"ENSG00000004777",8,17,1,2,1,0,5,4,5,10
"ENSG00000004779",3899,3716,7061,3540,3752,3161,5639,3820,4273,4151
"ENSG00000004799",9461,1438,4076,3298,1981,600,11119,1891,9213,7950
"ENSG00000004809",0,3,0,0,0,0,1,0,0,0
"ENSG00000004838",5,2,4,7,5,0,3,2,4,0
"ENSG00000004846",0,21,0,3,0,1,0,0,0,0
"ENSG00000004848",150,140,60,110,106,23,129,46,93,86
"ENSG00000004864",79,112,77,45,34,62,44,25,55,47
"ENSG00000004866",127,118,77,122,84,59,120,79,117,70
"ENSG00000004897",1172,1252,492,517,491,320,747,348,617,576
"ENSG00000004939",6,0,7,12,5,6,29,6,10,0
"ENSG00000004948",24,14,13,11,5,3,8,5,9,14
"ENSG00000004961",910,705,613,486,435,218,943,318,793,542
"ENSG00000004975",106,181,50,87,39,28,64,27,73,142
"ENSG00000005001",0,0,0,0,0,0,0,0,0,0
"ENSG00000005007",586,690,62,205,119,74,210,49,155,186
"ENSG00000005020",128,195,114,78,82,89,140,70,78,82
"ENSG00000005022",204,268,263,169,148,184,253,264,262,197
"ENSG00000005059",31,105,20,32,27,49,24,19,13,29
"ENSG00000005073",116,132,14,56,23,8,48,4,20,24
"ENSG00000005075",438,341,240,284,342,226,352,325,425,448
"ENSG00000005100",111,160,18,64,38,18,50,20,42,29
"ENSG00000005102",60,102,14,32,26,30,32,19,59,20
"ENSG00000005108",44,132,2,16,14,11,14,9,21,2
"ENSG00000005156",335,397,76,114,103,38,128,62,132,113
"ENSG00000005175",687,651,200,252,198,113,317,120,267,272
"ENSG00000005187",10,17,3,4,6,4,1,6,2,4
"ENSG00000005189",29,29,14,20,14,13,13,5,11,6
"ENSG00000005194",504,469,343,273,261,162,421,191,420,333
"ENSG00000005206",105,99,21,50,45,18,42,16,46,41
"ENSG00000005238",163,240,31,116,45,55,159,41,108,172
"ENSG00000005243",520,625,426,345,341,215,371,209,405,335
"ENSG00000005249",94,99,39,40,25,33,47,38,23,39
"ENSG00000005302",547,529,336,404,316,144,403,176,325,293
"ENSG00000005339",892,922,255,473,429,239,502,243,411,426
"ENSG00000005379",120,125,13,81,56,16,80,46,43,84
"ENSG00000005381",13,16,1,8,7,2,3,4,8,4
"ENSG00000005421",3,2,0,2,1,0,2,2,0,0
"ENSG00000005436",627,501,341,393,400,206,404,255,377,384
"ENSG00000005448",5,9,5,6,4,3,3,3,2,0
"ENSG00000005469",304,343,102,96,126,44,144,56,125,76
"ENSG00000005471",245,220,106,103,134,59,133,51,130,134
"ENSG00000005483",823,822,253,362,274,223,507,193,316,272
"ENSG00000005486",109,121,45,88,43,51,105,37,72,55
"ENSG00000005513",10,19,4,6,1,1,1,0,0,0
"ENSG00000005700",4555,3289,1663,1573,1544,734,2902,872,1521,1596
"ENSG00000005801",318,234,204,101,210,145,275,149,159,167
"ENSG00000005810",1394,1674,341,609,459,209,679,240,450,432
"ENSG00000005812",748,682,520,473,489,392,567,342,406,437
"ENSG00000005844",32,35,31,29,7,14,10,3,10,3
"ENSG00000005882",1766,1316,533,1035,801,352,1490,646,1280,1556
"ENSG00000005884",81,190,23,58,30,13,51,13,56,36
"ENSG00000005889",1620,1297,821,747,820,442,1042,456,805,873
"ENSG00000005893",3557,3265,1380,1292,1154,773,1821,769,1286,1341
"ENSG00000005961",2,7,3,0,0,0,5,3,1,0
"ENSG00000005981",916,665,247,394,287,92,388,102,335,372
"ENSG00000006007",2110,1794,1341,1335,1383,731,1624,896,1358,1344
"ENSG00000006015",582,527,389,524,487,280,711,359,858,706
"ENSG00000006016",106,66,77,93,59,26,59,33,77,55
"ENSG00000006025",73,179,16,53,51,32,33,24,60,35
"ENSG00000006042",29,136,21,36,14,24,11,14,14,8
"ENSG00000006047",43,29,16,19,15,13,26,0,17,14
"ENSG00000006059",1,1,0,0,0,0,0,0,0,0
"ENSG00000006062",102,147,17,73,38,23,44,17,43,35
"ENSG00000006071",21,15,5,11,10,10,8,2,27,0
"ENSG00000006116",0,0,0,0,0,0,0,0,0,0
"ENSG00000006118",35,111,5,19,5,5,10,8,2,19
"ENSG00000006125",1581,1756,715,762,657,442,815,522,956,1045
"ENSG00000006128",0,1,0,0,0,0,1,0,0,0
"ENSG00000006194",187,202,49,67,67,53,116,39,46,73
"ENSG00000006210",113,72,23,61,19,26,27,7,38,59
"ENSG00000006282",246,378,52,212,66,39,325,140,102,116
"ENSG00000006283",0,1,0,2,0,0,1,0,0,3
"ENSG00000006327",123,220,60,110,34,59,138,17,175,33
"ENSG00000006377",0,0,0,0,0,0,0,0,0,0
"ENSG00000006432",40,40,8,26,3,4,21,26,29,10
"ENSG00000006451",352,529,182,156,217,104,305,124,200,258
"ENSG00000006453",26,51,13,4,13,14,12,1,19,8
"ENSG00000006459",1431,1262,223,359,393,159,530,146,416,425
"ENSG00000006468",19,51,19,7,12,18,15,5,5,15
"ENSG00000006530",204,209,47,100,85,54,112,42,75,138
"ENSG00000006534",21,27,3,14,10,8,14,2,33,5
"ENSG00000006555",0,3,0,0,6,0,0,0,0,0
"ENSG00000006576",6095,3786,3359,3197,2959,1477,2785,1285,2410,2389
"ENSG00000006606",1,2,4,0,0,2,1,0,0,0
"ENSG00000006607",245,272,144,119,127,66,158,82,197,127
"ENSG00000006611",0,0,0,0,0,0,0,0,0,0
"ENSG00000006625",181,191,128,127,90,49,180,82,118,141
"ENSG00000006634",43,40,56,41,41,15,53,39,55,31
"ENSG00000006638",7,9,4,6,3,0,3,4,1,2
"ENSG00000006652",209,124,89,57,47,28,92,34,58,55
"ENSG00000006659",0,0,0,0,0,0,0,0,1,0
"ENSG00000006695",1103,829,588,644,526,262,1025,434,775,679
"ENSG00000006704",390,386,132,205,188,74,229,124,191,265
"ENSG00000006712",343,443,90,205,153,37,251,52,266,223
"ENSG00000006715",332,550,92,157,95,126,205,94,163,151
"ENSG00000006740",61,74,17,29,15,14,37,18,23,49
"ENSG00000006744",936,1026,104,247,226,79,337,125,329,241
"ENSG00000006747",1,7,0,6,0,0,0,0,0,0
"ENSG00000006756",27,82,7,9,3,17,7,12,8,8
"ENSG00000006757",763,644,668,658,605,402,768,517,655,859
"ENSG00000006788",3,15,5,5,14,6,5,4,7,1
"ENSG00000006831",1384,1281,399,687,391,185,639,243,533,580
"ENSG00000006837",5,13,8,9,14,7,4,3,7,19
"ENSG00000007001",0,1,1,0,0,0,0,0,0,0
"ENSG00000007038",3,3,0,0,0,0,0,0,0,0
"ENSG00000007047",414,540,97,193,351,104,154,99,194,162
"ENSG00000007062",21,32,31,17,21,7,27,7,27,22
"ENSG00000007080",312,357,93,238,158,44,272,92,281,289
"ENSG00000007129",2,0,0,2,0,0,4,4,1,0
"ENSG00000007168",2815,2996,500,999,754,321,1566,393,947,812
"ENSG00000007171",30,22,6,19,4,1,10,5,2,4
"ENSG00000007174",2,3,0,0,5,4,0,3,0,0
"ENSG00000007202",2350,2775,672,1406,966,419,1626,563,1460,1363
"ENSG00000007216",0,0,0,0,0,0,0,0,0,0
"ENSG00000007237",217,478,169,217,139,286,133,100,138,119
"ENSG00000007255",158,171,57,134,67,39,105,84,90,153
"ENSG00000007264",4,9,1,4,2,1,2,0,0,0
"ENSG00000007306",0,0,0,0,0,0,0,0,0,0
"ENSG00000007312",28,21,28,9,6,12,18,12,11,8
"ENSG00000007314",3225,3025,285,1133,746,241,1046,410,769,728
"ENSG00000007341",203,174,184,97,138,102,123,88,150,134
"ENSG00000007350",11,10,0,6,14,8,9,7,17,18
"ENSG00000007372",1,0,0,0,0,2,1,0,0,0
"ENSG00000007376",84,84,27,66,50,18,67,26,77,33
"ENSG00000007384",109,160,20,80,34,23,54,18,67,39
"ENSG00000007392",174,219,70,79,64,50,86,24,76,49
"ENSG00000007402",11,16,7,9,5,1,4,3,3,0
"ENSG00000007516",25,22,4,6,3,5,14,9,2,3
"ENSG00000007520",388,395,135,276,226,88,327,167,321,222
"ENSG00000007541",86,91,21,66,36,32,86,34,63,56
"ENSG00000007545",61,86,13,39,23,9,24,12,26,25
"ENSG00000007866",198,237,49,104,81,51,138,60,111,156
"ENSG00000007908",8,8,0,1,0,3,0,4,0,0
"ENSG00000007923",536,489,78,188,146,69,343,99,217,213
"ENSG00000007933",59,135,42,32,38,37,29,19,48,31
"ENSG00000007944",923,1039,234,327,340,263,436,214,234,180
"ENSG00000007952",2,1,5,4,0,4,1,0,1,0
"ENSG00000007968",0,5,2,2,4,2,1,0,0,0
"ENSG00000008018",2024,1932,2489,1956,1970,1443,2299,1394,2453,1740
"ENSG00000008056",12,16,1,6,0,0,3,0,0,0
"ENSG00000008083",334,432,60,141,77,43,177,67,141,106
"ENSG00000008086",108,141,39,63,47,29,94,30,61,42
"ENSG00000008118",1,1,0,0,0,0,2,1,2,0
"ENSG00000008128",0,1,3,4,0,0,1,0,0,8
"ENSG00000008130",125,148,88,74,65,49,94,49,100,77
"ENSG00000008196",0,0,0,0,0,0,0,0,0,0
"ENSG00000008197",0,0,0,0,0,0,0,0,2,0
"ENSG00000008226",12,2,4,4,11,2,0,0,3,4
"ENSG00000008256",309,410,99,184,106,109,199,67,226,207
"ENSG00000008277",172,203,77,76,38,40,63,38,92,47
"ENSG00000008282",1941,1466,793,771,789,532,946,446,648,840
"ENSG00000008283",40,181,20,34,33,25,25,18,25,20
"ENSG00000008294",3672,3461,745,1211,1054,479,1302,404,1200,1125
"ENSG00000008300",8,10,7,0,0,5,2,0,5,0
"ENSG00000008311",317,293,93,100,120,89,132,36,90,76
"ENSG00000008323",3,13,2,6,2,7,3,1,5,0
"ENSG00000008324",99,83,162,32,73,73,106,50,65,56
"ENSG00000008382",80,75,12,53,41,16,73,25,83,54
"ENSG00000008394",38,19,29,14,28,33,43,40,44,18
"ENSG00000008405",130,200,93,104,94,73,111,65,67,74
"ENSG00000008438",1,1,0,0,0,0,0,0,0,0
"ENSG00000008441",4105,3130,1091,2287,1884,740,2487,927,2330,2098
"ENSG00000008513",1433,1436,298,491,759,304,1335,382,782,633
"ENSG00000008516",7,8,1,1,1,7,4,2,4,0
"ENSG00000008517",367,1555,154,253,81,106,176,110,310,279
"ENSG00000008710",1168,1381,137,691,430,177,601,155,375,295
"ENSG00000008735",1,2,0,1,0,0,1,5,0,0
"ENSG00000008838",793,927,177,457,266,132,441,182,353,315
"ENSG00000008853",132,285,57,135,65,58,87,38,51,99
"ENSG00000008869",289,354,154,159,100,121,142,93,154,101
"ENSG00000008952",1372,1309,572,692,646,393,997,364,788,745
"ENSG00000008988",6358,4752,8938,4126,6723,5749,4826,4065,6669,6269
"ENSG00000009307",46386,36992,17992,26063,24231,10265,29656,11258,29711,26856
